network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
CWASN,ALS,阿里山氣象站,Alishan Weather Station,23.50838,120.81341,2417.00,1993-11-03,2599-12-31,嘉義縣,阿里山鄉
CWASN,ANP,鞍部氣象站,An-Bu Weather Station,25.18277,121.52935,836.00,1992-09-30,2599-12-31,臺北市,北投區
CWASN,BAC,臺北氣象站,Taipei Weather Station,24.99746,121.44182,15.00,1993-09-09,2022-12-26,新北市,板橋區
CWASN,BGSB,八卦山,Baguashan,24.057,120.6106,107.00,2003-12-12,2004-09-10,彰化縣,彰化市
CWASN,CCUH,中正大學,National Chung Cheng University,23.56632,120.46755,51.48,2007-12-13,2599-12-31,嘉義縣,民雄鄉
CWASN,CHK,成功氣象站,Cheng-Gong Weather Station,23.0978,121.37315,37.00,1993-09-23,2599-12-31,臺東縣,成功鎮
CWASN,CHKH,博愛國小,Bo-ai Elementary School,23.19177,121.39566,11.00,1994-11-10,2599-12-31,臺東縣,成功鎮
CWASN,CHN8,義竹國小埤前分校,Yi-Jhu Elementary School Pi-Chian Branch,23.34733,120.2227,6.00,2009-10-01,2599-12-31,嘉義縣,義竹鄉
CWASN,CHY,嘉義氣象站,Chiayi Weather Station,23.49629,120.43253,31.00,1993-10-20,2599-12-31,嘉義市,西區
CWASN,DOSB,東沙島,Dongsha Island,20.701,116.7306,5.00,2003-12-09,2013-04-03,高雄市,旗津區
CWASN,EAH,澳花國小,Aohua Elementary School,24.32935,121.73931,56.00,1995-01-21,2599-12-31,宜蘭縣,南澳鄉
CWASN,EAS,安朔國小新化分校,An-Shuo Elementary School Sin-Hua Branch,22.38199,120.85635,457.00,1998-08-12,2599-12-31,臺東縣,達仁鄉
CWASN,ECB,長濱國小,Chang-Bin Elementary School,23.31635,121.45116,63.00,1992-12-14,2599-12-31,臺東縣,長濱鄉
CWASN,ECL,嘉蘭國小,Jia-Lan Elementary School,22.5957,120.9617,88.00,1998-08-12,2599-12-31,臺東縣,金峰鄉
CWASN,ECS,萬安國小,Wan-An Elementary School,23.09518,121.21917,286.00,1994-11-10,2599-12-31,臺東縣,池上鄉
CWASN,EDH,東河國小,Dong-He Elementary School,22.97251,121.30397,46.00,1992-12-14,2599-12-31,臺東縣,東河鄉
CWASN,EGC,磯崎國小,Ji-Ci Elementary School,23.70781,121.54756,9.00,1994-11-06,2599-12-31,花蓮縣,豐濱鄉
CWASN,EGFH,光復高工,Guangfu Senior Comm. & Ind. Vocational High School,23.66886,121.42748,126.00,2011-12-20,2599-12-31,花蓮縣,光復鄉
CWASN,EGS,龜山島,Gui-Shan Island,24.84271,121.94375,20.00,2001-11-15,2599-12-31,宜蘭縣,頭城鎮
CWASN,EHD,廣原國小,Guang-Yuan Elementary School,23.14882,121.20611,295.00,2016-06-04,2599-12-31,臺東縣,海端鄉
CWASN,EHP,和平國小,He-Ping Elementary School,24.30899,121.74942,27.00,1999-07-20,2599-12-31,花蓮縣,秀林鄉
CWASN,EHYH,紅葉國小,Hung-Ya elementary school,23.49395,121.34511,173.00,2017-10-06,2599-12-31,花蓮縣,萬榮鄉
CWASN,ELD,霧鹿國小利稻分校,Wu-Lu Elementary School Li-Dao Branch,23.18708,121.02506,1058.00,1998-08-11,2599-12-31,臺東縣,海端鄉
CWASN,ENA,金洋國小,Jin-Yang Elementary School,24.42591,121.74901,123.00,1993-09-20,2599-12-31,宜蘭縣,南澳鄉
CWASN,ENA1,南澳,Nanao,24.4494,121.8102,4.00,2008-12-31,2011-01-04,宜蘭縣,蘇澳鎮
CWASN,ENAH,南澳,Nanao,24.4494,121.8102,4.00,2011-01-05,2015-02-09,宜蘭縣,蘇澳鎮
CWASN,ENLB,鹽寮,Yanliao,23.9036,121.6017,71.00,2002-12-02,2014-04-24,花蓮縣,壽豐鄉
CWASN,ESA,永樂國小,Yongle Elementary School,24.57572,121.84386,48.00,1995-01-21,2599-12-31,宜蘭縣,蘇澳鎮
CWASN,ESL,西林國小,Si-Lin Elementary School,23.81203,121.44161,180.00,1992-07-01,2599-12-31,花蓮縣,萬榮鄉
CWASN,ETLH,西寶國小,Shi-Bau elementary school,24.20678,121.48174,1005.00,2013-01-18,2599-12-31,花蓮縣,秀林鄉
CWASN,ETM,銅門國小,Tong-Men Elementary School,23.96589,121.49279,170.00,1998-05-01,2599-12-31,花蓮縣,秀林鄉
CWASN,EWT,武塔國小,Wu-Ta elementary school,24.445,121.77831,40.00,2015-02-06,2599-12-31,宜蘭縣,南澳鄉
CWASN,EYUL,玉里高中,Yu-Li senior high school,23.34724,121.31913,138.00,2014-08-07,2599-12-31,花蓮縣,玉里鎮
CWASN,HEN,恒春氣象站,Heng-Chun Weather Station,22.00376,120.74598,26.00,1993-10-05,2599-12-31,屏東縣,恆春鎮
CWASN,HSN,新竹氣象站,Hsinchu Weather Station,24.82827,121.01419,31.00,1993-11-17,2599-12-31,新竹縣,竹北市
CWASN,HSN1,新竹園區實中,Hshinchu Yuancyu Experimental High School,24.77864,121.01819,91.00,1993-11-18,2599-12-31,新竹市,東區
CWASN,HWA,花蓮氣象站,Hualien Weather Station,23.97501,121.61349,18.00,1993-09-21,2599-12-31,花蓮縣,花蓮市
CWASN,ILA,宜蘭氣象站,Yilan Weather Station,24.76379,121.75631,11.00,1993-09-17,2599-12-31,宜蘭縣,宜蘭市
CWASN,KAU,高雄氣象站,Kaohsiung Weather Station,22.56623,120.31571,1.00,1994-11-21,2021-06-09,高雄市,前鎮區
CWASN,KAUH,新高雄氣象站,New Kaohsiung Weather Station,22.73073,120.31238,14.14,2022-09-30,2599-12-31,高雄市,楠梓區
CWASN,KNM,金門氣象站,Kinmen Weather Station,24.40748,118.28868,31.00,2003-12-14,2599-12-31,金門縣,金城鎮
CWASN,KSHI,東光國小,Dung-Guang Elementary School,24.7771,121.17527,147.00,2018-10-12,2599-12-31,新竹縣,關西鎮
CWASN,LAY,蘭嶼氣象站,Lan-Yu Weather Station,22.03727,121.55813,309.00,1993-10-05,2599-12-31,臺東縣,蘭嶼鄉
CWASN,LDU,綠島國小,Lyudao elementary school,22.67327,121.46924,17.00,2004-12-15,2599-12-31,臺東縣,綠島鄉
CWASN,MSU,馬祖氣象站,Matsu Weather Station,26.16922,119.92295,85.00,2003-12-27,2599-12-31,連江縣,南竿鄉
CWASN,NANB,南澳,Nanao,24.4275,121.7498,112.00,2003-12-12,2014-06-09,宜蘭縣,南澳鄉
