network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
GNSS,ALIS,阿里山,ALIS,23.50817,120.8133,2438.3319,2006-03-02,2599-12-31,嘉義縣,阿里山鄉
GNSS,ANBU,鞍部,ANBU,25.18266,121.52962,861.6187,2018-03-27,2599-12-31,台北市,北投區
GNSS,ANK2,檢校中心2,ANK2,24.95931,121.52507,45.4289,2015-05-22,2019-07-11,新北市,新店區
GNSS,ANKN,檢校中心,ANKN,24.9591,121.52473,45.9736,2006-03-17,2016-12-31,新北市,新店區
GNSS,BAL2,上巴陵2,BAL2,24.69927,121.42716,1698.9806,2021-11-10,2599-12-31,桃園市,復興鄉
GNSS,BALN,上巴陵,BALN,24.69949,121.42612,1715.2437,2006-12-26,2021-11-09,桃園市,復興鄉
GNSS,BANC,板橋,BANC,24.99766,121.44211,31.0967,1993-10-08,2022-12-29,新北市,板橋區
GNSS,BANP,半屏山,BANP,22.69313,120.30541,122.7478,2007-04-03,2599-12-31,高雄市,左營區
GNSS,BIMO,賓茂國中,BIMO,22.5328,120.96739,48.0805,2013-11-12,2599-12-31,臺東縣,太麻里鄉
GNSS,BLOW,布洛灣,BLOW,24.17176,121.57125,375.4232,2005-11-07,2599-12-31,花蓮縣,秀林鄉
GNSS,CHEN,成功,CHEN,23.09741,121.37358,60.3356,1994-01-01,2599-12-31,臺東縣,成功鎮
GNSS,CHIA,嘉義,CHIA,23.49598,120.43321,49.8429,1993-10-08,2599-12-31,嘉義市,西區
GNSS,CHIH,池上,CHIH,23.11584,121.20599,313.5174,2005-07-15,2016-10-26,臺東縣,池上鄉
GNSS,CHIN,清水,CHIN,24.27102,120.58216,57.3003,2001-11-14,2599-12-31,臺中市,清水區
GNSS,CHIU,九份二山,CHIU,23.94539,120.82891,1067.5527,2001-12-06,2599-12-31,南投縣,國姓鄉
GNSS,CHNT,崇德,CHNT,24.14921,121.6619,38.7786,2002-12-25,2599-12-31,花蓮縣,秀林鄉
