network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
GNSS_IES,8118,民和國小,8118,23.46298,120.55298,228.1409,2000-05-20,2599-12-31,嘉義縣,番路鄉  
GNSS_IES,C001,內腦寮,C001,23.41795,120.6124,680.0412,2000-05-17,2599-12-31,嘉義縣,番路鄉  
GNSS_IES,C002,分水嶺,C002,23.36175,120.57719,873.1636,2001-06-15,2599-12-31,嘉義縣,大埔鄉  
GNSS_IES,CHKU,土城國小城西分班,CHKU,23.05585,120.09276,22.8511,2003-05-20,2599-12-31,臺南市,安南區  
GNSS_IES,CHNL,中崙國小,CHNL,23.37715,120.56347,355.4222,1997-03-21,2599-12-31,嘉義縣,中埔鄉  
GNSS_IES,CHTS,七彩湖,CHTS,23.75466,121.23275,2970.3546,2006-04-07,2599-12-31,花蓮縣,萬榮鄉  
GNSS_IES,CHUK,黎明國小,CHUK,23.43871,120.60473,270.2470,2010-06-30,2599-12-31,嘉義縣,番路鄉  
GNSS_IES,CHYN,竹園國小,CHYN,23.39327,120.2908,40.2180,1999-04-22,2599-12-31,嘉義縣,鹿草鄉  
GNSS_IES,CWEN,崇文國小,CWEN,23.47305,120.45277,78.9504,2005-10-28,2599-12-31,嘉義市,東區    
GNSS_IES,DNDA,丹大,DNDA,23.75364,121.14115,2576.6287,2006-04-05,2599-12-31,南投縣,信義鄉  
GNSS_IES,DONA,多納,DONA,22.91562,120.70352,522.7736,2003-04-09,2599-12-31,高雄市,茂林區  
GNSS_IES,ERPN,二層坪,ERPN,22.94218,121.16612,221.8703,2002-01-23,2599-12-31,臺東縣,延平鄉  
GNSS_IES,FCWS,中山,FCWS,24.85069,121.24982,255.2800,1994-09-23,2599-12-31,桃園市,龍潭區 
GNSS_IES,FNGU,峰谷國小,FNGU,24.03517,120.72445,170.8742,2005-05-12,2599-12-31,臺中市,霧峰區  
GNSS_IES,FUDN,富東,FUDN,23.25074,121.32929,267.7390,2011-03-08,2599-12-31,花蓮縣,富里鄉  
GNSS_IES,FUQE,福龜國小,FUQE,24.01116,120.82332,291.5952,2008-05-14,2599-12-31,南投縣,國姓鄉  
GNSS_IES,GANK,乾溝,GANK,24.0284,120.82257,279.8657,2001-04-12,2599-12-31,南投縣,國姓鄉  
GNSS_IES,HOKN,後港國中,HOKN,23.18839,120.13489,30.2770,1998-11-03,2599-12-31,臺南市,七股區  
GNSS_IES,JONP,中埔國小,JONP,23.42297,120.52401,168.2854,2004-11-17,2599-12-31,嘉義縣,中埔鄉  
GNSS_IES,JPEI,瑞北,JPEI,23.5316,121.3714,151.5063,2002-01-22,2599-12-31,花蓮縣,瑞穗鄉  
GNSS_IES,JPIN,贊坪,JPIN,23.34109,121.35889,587.1061,2001-12-20,2599-12-31,花蓮縣,玉里鎮  
GNSS_IES,KLN2,關嶺國小,KLN2,23.33109,120.50796,408.4847,2015-12-24,2599-12-31,臺南市,白河區  
GNSS_IES,KNKO,花蓮大港口,KNKO,23.47222,121.50574,43.1473,2002-04-21,2599-12-31,花蓮縣,豐濱鄉  
GNSS_IES,KULN,關嶺國小,KULN,23.33099,120.50703,414.8554,1999-08-22,2599-12-31,臺南市,白河區  
GNSS_IES,KZN1,光榮國小,KZN1,23.94626,120.69799,130.8127,2003-10-30,2599-12-31,南投縣,南投市  
GNSS_IES,LAIG,來吉國小,LAIG,23.5294,120.73989,856.4486,2008-08-20,2599-12-31,嘉義縣,阿里山鄉
GNSS_IES,LNCH,龍崎尖峰,LNCH,22.99458,120.40261,190.3342,2003-08-28,2599-12-31,臺南市,龍崎區  
GNSS_IES,LOYE,樂野國小,LOYE,23.46863,120.7012,1218.3716,2008-08-18,2599-12-31,嘉義縣,阿里山鄉
GNSS_IES,LSAN,廬山,LSAN,24.02935,121.18217,1497.5270,2006-08-07,2599-12-31,南投縣,仁愛鄉  
GNSS_IES,MESN,梅山口,MESN,23.26364,120.82626,925.7667,2002-06-04,2599-12-31,高雄市,桃源區  
GNSS_IES,MIN2,那瑪夏圖書館站,MIN2,23.27703,120.71985,747.9378,2017-10-26,2599-12-31,高雄市,那瑪夏區
GNSS_IES,MINS,民生國小,MINS,23.2754,120.72091,751.2250,2002-04-18,2599-12-31,高雄市,那瑪夏區
GNSS_IES,MOTN,摩天,MOTN,23.20055,121.02685,1606.8445,2002-04-18,2599-12-31,臺東縣,海端鄉  
GNSS_IES,NGAO,能高,NGAO,24.04945,121.28446,3163.2191,2006-04-21,2599-12-31,花蓮縣,秀林鄉  
GNSS_IES,PAOL,寶來國中,PAOL,23.10862,120.70287,431.5683,2002-04-18,2599-12-31,高雄市,六龜區  
GNSS_IES,PING,長濱,PING,23.31947,121.45434,107.7777,2002-01-22,2599-12-31,臺東縣,長濱鄉  
GNSS_IES,PINT,坪頂成功國小,PINT,23.75607,120.64057,328.1364,1999-10-12,2599-12-31,雲林縣,林內鄉  
GNSS_IES,PNSI,磐石,PNSI,24.0137,121.39567,1291.8755,2006-05-25,2599-12-31,花蓮縣,秀林鄉  
GNSS_IES,S011,角秀山,S011,23.20542,120.33945,67.3033,1997-12-11,2599-12-31,臺南市,官田區  
GNSS_IES,S016,頭科山,S016,24.17955,120.80287,854.2855,1999-09-26,2599-12-31,臺中市,新社區  
GNSS_IES,S01R,澎湖,S01R,23.65527,119.59238,49.8907,1994-01-01,2599-12-31,澎湖縣,白沙鄉  
GNSS_IES,S092,灣丘,S092,23.1849,120.52847,227.3224,1997-12-04,2599-12-31,臺南市,楠西區  
GNSS_IES,S101,中研院地球所,S101,25.04045,121.61386,59.1626,1994-01-01,2599-12-31,臺北市,南港區  
GNSS_IES,S102,蘭嶼,S102,22.03722,121.55815,348.7348,1994-01-01,2599-12-31,臺東縣,蘭嶼鄉  
GNSS_IES,S103,中正大學,S103,23.56438,120.4752,125.4077,1994-01-01,2599-12-31,嘉義縣,民雄鄉  
GNSS_IES,S104,富山,S104,22.82077,121.18938,43.1402,1994-01-01,2599-12-31,台東縣,卑南鄉  
GNSS_IES,S105,明野,S105,22.95166,121.1129,699.9181,1994-01-01,2599-12-31,臺東縣,延平鄉  
GNSS_IES,S106,新化,S106,23.0508,120.3341,52.4899,1998-12-24,2599-12-31,臺南市,新化區  
GNSS_IES,S167,暨南大學,S167,23.95442,120.9341,580.9049,1999-11-17,2599-12-31,南投縣,埔里鎮  
GNSS_IES,S169,旗山,S169,22.9423,120.50331,145.5444,2000-12-21,2599-12-31,高雄市,旗山區  
GNSS_IES,S170,凍頂,S170,23.74596,120.76763,753.7614,2001-03-14,2599-12-31,南投縣,鹿谷鄉  
GNSS_IES,S23R,屏科大,S23R,22.64499,120.60618,94.1845,1994-01-01,2599-12-31,屏東縣,內埔鄉  
GNSS_IES,SCHN,新城國小,SCHN,24.12779,121.6516,52.6896,2008-10-19,2599-12-31,花蓮縣,新城鄉  
GNSS_IES,SHAN,池上,SHAN,23.10886,121.19949,319.7041,2002-03-22,2599-12-31,臺東縣,池上鄉  
GNSS_IES,SILN,小林,SILN,23.16039,120.64604,488.3765,2003-05-17,2599-12-31,高雄市,甲仙區  
GNSS_IES,SJPU,三界埔,SJPU,23.42854,120.48127,77.1651,2003-02-21,2599-12-31,嘉義縣,水上鄉  
GNSS_IES,SUAB,蘇澳,SUAB,24.59391,121.86791,26.9808,2005-06-29,2599-12-31,宜蘭縣,蘇澳鎮 
GNSS_IES,TAPE,大坡國小,TAPE,23.12558,121.23088,303.4039,2002-10-07,2599-12-31,花蓮縣,富里鄉  
GNSS_IES,TAPO,大坡,TAPO,23.12707,121.23742,419.6865,2002-03-01,2599-12-31,臺東縣,池上鄉  
GNSS_IES,TAPP,,TAPP,25.04032,121.61398,60.6606,2007-11-01,2599-12-31,臺北市,南港區  
GNSS_IES,TAPU,大埔,TAPU,23.25081,120.58541,670.0318,2003-05-19,2599-12-31,嘉義縣,大埔鄉  
GNSS_IES,TENC,天池,TENC,23.27779,120.91567,2340.9624,2002-04-17,2599-12-31,高雄市,桃源區  
GNSS_IES,TSHO,崇和國小,TSHO,22.90422,120.35186,68.2399,1999-01-05,2599-12-31,臺南市,關廟區  
GNSS_IES,TTSH,臺東高中,TTSH,22.74714,121.14763,48.6212,2008-05-08,2599-12-31,臺東縣,臺東市  
