network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
MAGNET,CNU,暨南,Chinan,23.9576,120.9282,586.0000,2022-12-21,2599-12-31,南投縣,埔里鎮
MAGNET,CSG,池上,Chihshang,23.1112,121.2264,300.0000,2014-03-25,2599-12-31,台東縣,池上鄉
MAGNET,HCN,恆春,Hengchun,21.9404,120.8135,114.0000,2007-05-09,2599-12-31,屏東縣,恆春鎮
MAGNET,HLN,加灣,Chiawan,24.0814,121.6044,0.0000,2007-04-11,2019-04-11,花蓮縣,秀林鄉
MAGNET,KMA,金門,Kinmen,24.4434,118.3531,53.0000,2020-11-23,2599-12-31,金門縣,金寧鄉
MAGNET,KMN,金門,Kinmen,24.4468,118.4529,0.0000,2015-11-13,2020-11-22,金門縣,金湖鎮
MAGNET,LNU,蘭嶼,Lanyu,22.0372,121.5581,319.0000,2020-10-10,2599-12-31,臺東縣,蘭嶼鄉
MAGNET,LYN,鯉魚潭,Liyutan,24.3465,120.7801,284.0000,2006-09-21,2599-12-31,苗栗縣,三義鄉
MAGNET,MSI,馬仕,Mashi,22.6109,120.633,0.0000,2015-11-13,2018-10-12,屏東縣,泰武鄉
MAGNET,MTU,馬祖,Matsu,26.1692,119.9229,98.0000,2020-09-10,2599-12-31,連江縣,南竿鄉
MAGNET,NCG,內城,Neicheng,24.718,121.6829,5.0000,2007-05-15,2599-12-31,宜蘭縣,員山鄉
MAGNET,PTA,瑪家,Majja,22.7031,120.6526,0.0000,2007-01-01,2012-12-03,屏東縣,瑪家鄉
MAGNET,SLG,雙龍,Suanglung,23.7892,120.9544,0.0000,2007-04-09,2019-03-01,南投縣,信義鄉
MAGNET,SME,日月潭,Sunmoonlake,23.8809,120.9074,1002.0000,2019-10-08,2022-06-23,南投縣,魚池鄉
MAGNET,TTN,卑南,Beinan,22.8175,121.0799,0.0000,2006-11-01,2599-12-31,台東縣,卑南鄉
MAGNET,TWU,灣丘,Wanqiu,23.1848,120.5285,218.0000,2006-11-01,2599-12-31,台南縣,楠西鄉
MAGNET,XCG,新城,Xincheng,24.0379,121.6093,16.0000,2020-10-06,2599-12-31,花蓮縣,新城鄉
MAGNET,YHG,爺亨,Yeheng,24.6695,121.3757,748.0000,2007-11-02,2599-12-31,桃園市,復興區
MAGNET,YLI,玉里,Yuli,23.3928,121.297,0.0000,2007-05-28,2019-09-22,花蓮縣,卓溪鄉
MAGNET,ZBN,知本,Zhiben,22.7395,121.0649,0.0000,2020-10-06,2599-12-31,臺東縣,臺東市
