network,station_code,chinese_station_name,english_station_name,lat,lon,elevation,start_time,end_time,location_county,location_district
TSMIP,A002,關渡國小,Guan-Du Elementary School,25.12579,121.46688,10.00,1992-11-02,2599-12-31,臺北市,北投區
TSMIP,A003,成功國小,Cheng-Kung Elementary School,25.08602,121.45688,0.00,1992-10-21,2599-12-31,新北市,蘆洲區
TSMIP,A004,富安國小,Fu-an Elementary School,25.10578,121.48283,1.00,1992-10-20,2599-12-31,臺北市,士林區
TSMIP,A006,士林商職,Shi-Lin High School of Commerce,25.09399,121.51523,8.00,1992-10-20,2599-12-31,臺北市,士林區
TSMIP,A007,大龍國小,Da-Long Elementary School,25.07349,121.5169,14.00,1992-10-20,2599-12-31,臺北市,大同區
TSMIP,A008,大佳國小,Da-Jia Elementary School,25.07403,121.53594,2.00,1992-08-13,2599-12-31,臺北市,中山區
TSMIP,A009,內湖國小,Nei-Hu Elementary School,25.0802,121.57963,7.00,1992-10-29,2599-12-31,臺北市,內湖區
TSMIP,A010,二重國小,Er-Jhong Elementary School,25.06513,121.47778,0.00,1992-08-13,2026-01-15,新北市,三重區
TSMIP,A011,三光國小,San-Guang Elementary School,25.0565,121.49665,11.00,1992-08-13,2599-12-31,新北市,三重區
TSMIP,A013,長春國小,Jhang-Chun Elementary School,25.05645,121.53371,14.00,1992-09-15,2599-12-31,臺北市,中山區
TSMIP,A014,民生國小,Min-Sheng Elementary School,25.05645,121.5522,16.00,1992-10-29,2599-12-31,臺北市,松山區
TSMIP,A015,松山國小,Song-Shan Elementary School,25.05044,121.57943,14.00,1992-10-29,2599-12-31,臺北市,松山區
TSMIP,A016,泰山國小,Tai-Shan Elementary School,25.06155,121.43113,27.00,1992-09-15,2599-12-31,新北市,泰山區
TSMIP,A020,幸安國小,Sing-An Elementary School,25.03764,121.53438,4.00,1992-10-30,2599-12-31,臺北市,大安區
TSMIP,A024,埔墘國小,Pu-Cian Elementary School,25.01923,121.47472,14.00,1992-08-11,2599-12-31,新北市,板橋區
TSMIP,A025,東園國小,Dong-Yuang Elementary School,25.02281,121.498,11.00,1992-09-10,2599-12-31,臺北市,萬華區
TSMIP,A026,頂溪國小,Ding-Si Elementary School,25.01568,121.51137,17.00,1992-08-12,2599-12-31,新北市,永和區
TSMIP,A030,志清國小,Jhi-Ching Elementary School,24.99788,121.53873,21.00,1992-10-30,2599-12-31,臺北市,文山區
TSMIP,A032,積穗國小,Ji-Suei Elementary School,24.99963,121.48283,7.00,1993-08-26,2599-12-31,新北市,中和區
TSMIP,A034,新店國小,Sin-Dian Elementary School,24.95357,121.539,33.00,1993-09-01,2599-12-31,新北市,新店區
TSMIP,A036,龜山國小,Guei-Shan Elementary School,24.9023,121.55344,66.00,1993-08-31,2599-12-31,新北市,新店區
TSMIP,A037,國泰國小,Guo-Tai Elementary School,25.0343,121.44158,11.00,1993-09-10,2599-12-31,新北市,新莊區
TSMIP,A038,裕民國小,Yu-Min Elementary School,25.02241,121.41863,16.00,1993-09-10,2599-12-31,新北市,新莊區
TSMIP,A039,三峽國小,San-Sia Elementary School,24.93477,121.36926,38.00,1993-09-03,2599-12-31,新北市,三峽區
TSMIP,A043,樹林國小,Shu-Lin Elementary School,24.98969,121.41806,20.00,1993-09-06,2599-12-31,新北市,樹林區
TSMIP,A044,山佳國小,Shan-Jia Elementary School,24.97551,121.40214,54.00,1993-09-06,2599-12-31,新北市,樹林區
TSMIP,A045,瑞柑國小,Ruei-Gan Elementary School,25.10949,121.82303,82.00,1993-09-14,2599-12-31,新北市,瑞芳區
TSMIP,A046,瑞亭國小,Ruei-Ting Elementary School,25.1025,121.77695,43.00,1993-09-14,2599-12-31,新北市,瑞芳區
TSMIP,A047,鶯歌國小,Ying-Ge Elementary School,24.95187,121.34456,59.00,1993-09-03,2599-12-31,新北市,鶯歌區
TSMIP,A049,米倉國小,Mi-Chang Elementary School,25.14687,121.44546,33.00,1993-09-10,2599-12-31,新北市,八里區
TSMIP,A050,八里國小,Ba-Li Elementary School,25.14992,121.40421,13.00,1993-09-10,2599-12-31,新北市,八里區
TSMIP,A051,成州國小,Cheng-Jhou Elementary School,25.09973,121.44919,5.00,1993-09-07,2599-12-31,新北市,五股區
TSMIP,A052,林口國小,Lin-Kou Elementary School,25.08008,121.38969,249.00,1993-09-09,2599-12-31,新北市,林口區
TSMIP,A053,新北氣象站,New Taipei Weather Station,24.95958,121.52506,22.00,1993-08-31,2599-12-31,新北市,新店區
TSMIP,A054,臺北氣象站,Taipei Weather Station,24.99746,121.44182,15.00,1993-09-09,2022-12-26,新北市,板橋區
TSMIP,A057,五堵國小,Wu-Du Elementary School,25.07952,121.6938,16.00,1993-09-15,2599-12-31,基隆市,七堵區
TSMIP,A059,隆聖國小,Long-Sheng Elementary School,25.15571,121.69354,73.00,1993-09-14,2599-12-31,基隆市,安樂區
TSMIP,A060,德和國小,De-He Elementary School,25.15472,121.7303,50.62,1993-09-14,2599-12-31,基隆市,中山區
TSMIP,A061,東信國小,Dong-Sin Elementary School,25.13164,121.76082,44.00,1993-09-15,2599-12-31,基隆市,信義區
TSMIP,A063,暖江國小,Nuan-Giang Elementary School,25.1055,121.73815,47.00,1993-09-14,2599-12-31,基隆市,暖暖區
TSMIP,A065,海洋大學2,National Taiwan Ocean University 2,25.14938,121.77332,16.00,1994-12-15,2599-12-31,基隆市,中正區
TSMIP,A066,鞍部氣象站,An-Bu Weather Station,25.18277,121.52935,836.00,1992-09-30,2599-12-31,臺北市,北投區
TSMIP,A070,鼻頭國小,Bi-Tou Elementary School,25.12177,121.91972,45.00,1994-12-15,2599-12-31,新北市,瑞芳區
TSMIP,A071,深坑國小,Shen-Keng Elementary School,25.00169,121.61674,37.00,1995-01-13,2599-12-31,新北市,深坑區
TSMIP,A072,石碇國小,Shih-Ding Elementary School,24.9906,121.65873,111.00,1995-01-13,2599-12-31,新北市,石碇區
TSMIP,A075,平溪國小,Ping-Si Elementary School,25.02771,121.73659,228.00,1995-01-17,2599-12-31,新北市,平溪區
TSMIP,A076,十分國小,Shih-Fen Elementary School,25.04353,121.77818,182.00,1995-01-17,2599-12-31,新北市,平溪區
